0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
-0.2450815,0.04920388,-0.17845881,0.16474101,0.026880208,-0.020537917,0.1270481,-0.10303412,0.007183725,0.027323382,0.101809286,-0.33748308,0.055381298,-0.18566999,0.0080999695,-0.0073063076,-0.04598915,0.17952675,-0.026485395,-0.017759673,-0.055558477,0.099784635,-0.3495971,-0.109307066,-0.044152386,-0.09058202,0.21165267,0.02312598,0.12603174,0.5169186,0.026747562,2.3228223
-0.35311905,0.008913824,-0.24535456,0.28885284,0.049755555,0.06592838,0.043592177,-0.25080457,-0.018119197,0.02349882,0.08236619,-0.43575257,0.149104,-0.22595194,0.07641137,0.039815284,-0.03731256,0.13943104,-0.04333202,-0.066886894,-0.12242435,0.026717765,-0.39247966,-0.22189534,-0.031101465,-0.09881357,0.27915722,0.057204787,0.12684989,0.71382684,-0.18449149,2.0933633
-0.17584206,0.0067406464,-0.05902944,-0.14583561,0.22682084,-0.16287369,0.17962803,0.1035193,-0.14925684,-0.07509493,0.09750661,0.010917462,-0.07632406,0.087446734,-0.12617989,0.016218543,-0.21891919,0.15424693,-0.060881026,0.19948503,0.086741045,0.043874763,-0.19825731,0.21548721,0.013527125,0.040465854,-0.36497125,0.005818207,0.2053953,0.22146405,0.19549718,2.8415227
-0.16421685,-0.053337373,-0.026388662,-0.04391522,-0.016438358,-0.0936978,0.15830973,0.13172728,-0.033241294,0.030483129,-0.04884275,-0.055218995,-0.076852754,0.03752539,-0.074385196,-0.122032955,-0.05219569,0.069874585,0.011480473,0.11938948,0.035593122,0.039419472,-0.19922937,0.13216689,-0.09779015,-0.0043334216,0.06789169,0.1235394,0.13412471,0.20424141,0.1293914,2.188432
-0.25490755,-0.011832384,-0.03392728,-0.23323569,0.065245464,-0.12855539,0.1912824,-0.08601201,-0.14271276,-0.0045818407,-0.013644756,-0.014905654,-0.06108623,0.13470428,-0.10549961,-0.024633214,-0.034191906,0.13728254,0.01616038,0.23356849,0.10643034,-0.13109767,0.3284287,-0.044916537,-0.0147256255,0.19355977,0.12851337,0.1025918,0.20188178,-0.019788548,0.062535405,2.930398
-0.29028702,0.029522168,-0.080107234,-0.272402,0.14639258,-0.10612477,0.10348301,-0.17107406,-0.19272335,-0.006596947,-0.0017504848,-0.021783449,-0.052155025,0.16702399,-0.096057326,0.0038989484,-0.0985813,0.1281191,-0.10265779,0.27702543,0.16636562,-0.107466236,0.35123813,-0.13014945,0.06877783,0.22718439,-0.19010371,0.069308,0.23113398,0.04019372,0.027183603,2.9920347
-0.33407992,-0.1101671,-0.13714105,0.33671147,0.024005663,0.07762752,-0.028645849,-0.10106794,-0.041479304,-0.007287016,0.034349903,-0.31146747,0.15963067,-0.1363263,0.11186333,0.042733572,-0.01929194,0.004985906,-0.049818873,-0.09404572,-0.113775045,0.05454795,-0.79755455,0.1095995,-0.07408625,-0.0577249,0.11256412,0.15358052,0.030282963,0.714665,-0.18711516,2.1101058
-0.2518844,-0.052613407,-0.023150587,-0.12279073,0.038553964,-0.13257626,0.14887016,0.047515057,-0.12974907,0.05822929,-0.053605914,0.03317432,-0.08574118,0.10884626,-0.05361598,-0.12572312,-0.062287845,0.032953925,-0.018558297,0.21247119,0.100440875,-0.04564189,0.0022798926,0.111793965,-0.05451967,0.12730402,-0.044269532,0.21276145,0.2093116,0.059522614,0.10157696,2.8340166
-0.28470117,-0.12586187,-0.09005403,0.28361055,-0.04554786,0.022814184,0.06632299,0.05098682,-0.0011278307,0.059846498,-0.010420092,-0.22982085,0.07457279,-0.124810904,0.076452374,-0.09431458,0.0057927575,0.01621285,-0.008431744,-0.024449997,-0.09701994,0.039883606,-0.6725018,0.17865445,-0.1475526,-0.050790563,0.17341456,0.2456424,0.05263972,0.57941496,-0.0812059,1.9596205
-0.1538398,-0.016627489,-0.049477633,-0.10900896,0.009062838,-0.09529955,0.033503972,-0.14182144,-0.109108485,-0.032916218,0.035002574,-0.024271674,0.01500683,0.10045372,-0.062350538,0.052603595,0.012022706,0.08006817,-0.00088079646,0.07955502,0.109343275,-0.003395157,0.059168413,-0.04681402,0.060378358,0.12625167,-0.027085692,-0.01052193,0.09308897,0.023467287,0.03364654,2.3985837
